"Mervyn Maze, Anesthesiology & Pain Management, http://www1.imperial.ac.uk/medicine/people/m.maze/"
"Ronald Miller, Anesthesiology & Pain Management, http://www.anesthesia.ucsf.edu/external/index.html"
"Dan Benhamou, Anesthesiology & Pain Management"
"William Camann, Anesthesiology & Pain Management, http://physiciandirectory.brighamandwomens.org/directory/profile.asp?dbase=main&setsize=30&last_name=camann&pict_id=0000902"
"Daniel Carr, Anesthesiology & Pain Management"
"James Cottrell, Anesthesiology & Pain Management, http://www.downstate.edu/anesthesiology/index.html"
"Albert Dahan, Anesthesiology & Pain Management"
"Clifford Deutschman, Anesthesiology & Pain Management, http://www.pennmedicine.org/Wagform/MainPage.aspx?config=provider&P=PP&ID=1007"
"Patrick Doyle, Anesthesiology & Pain Management"
"Talmage Egan, Anesthesiology & Pain Management, http://healthcare.utah.edu/fad/mddetail.php?physicianID=u0034095"
"Alex Evers, Anesthesiology & Pain Management, http://neuroscience.wustl.edu/research/faculty.php?id=36"
"Paul Farquhar-Smith, Anesthesiology & Pain Management"
"Nick Franks, Anesthesiology & Pain Management, http://www.bio.ph.ic.ac.uk/~nfranks"
"George Gregory, Anesthesiology & Pain Management, http://pediatrics.ucsf.edu/faculty/george-gregory-md"
"Chuck Hogue, Anesthesiology & Pain Management, http://www.hopkinsmedicine.org/anesthesiology_critical_care_medicine/research/experts/research_faculty/bios/hogue.html"
"Jan Jakobsson, Anesthesiology & Pain Management, http://ki.se/ki/jsp/polopoly.jsp?d=23748&a=110298&cid=23764&l=en"
"Franz Kehl, Anesthesiology & Pain Management, http://www.klinikum-karlsruhe.com/medizin/anaesthesie-notfallmedizin/klinik-fuer-anaesthesie-und-intensivmedizin/allgemeine-vorstellung.html"
"Martin Koltzenburg, Anesthesiology & Pain Management, http://www.ucl.ac.uk/slms/people/show.php?personid=177"
"Jonathan Mark, Anesthesiology & Pain Management, http://anesthesiology.duke.edu/modules/dukefaculty/viewDetails.php?u=0096639&t=1"
"David Menon, Anesthesiology & Pain Management, http://www.medschl.cam.ac.uk/anaesthetics/staff/"
"James Murray, Anesthesiology & Pain Management"
"Paolo Pelosi, Anesthesiology & Pain Management, http://www.uninsubria.it/pls/uninsubria/consultazione.mostra_pagina?id_pagina=8927"
"Ira Rampil, Anesthesiology & Pain Management, http://adam.cc.sunysb.edu/acc/dirsearch.cgi?first=ira&last=rampil&status=Any"
"Thomas Schnider, Anesthesiology & Pain Management"
"Mark Schumacher, Anesthesiology & Pain Management, http://anesthesia.ucsf.edu/extranet/faculty/index.php"
"Helmut Schwilden, Anesthesiology & Pain Management, http://www.anaesthesie.uk-erlangen.de/e22/e84/e2177/index_ger.html"
"Christoph Stein, Anesthesiology & Pain Management, http://anaesthesie.charite.de/en/research/pain/teams_and_projects/team_prof_stein/#c35210"
"Koji Sumikawa, Anesthesiology & Pain Management, http://www.med.nagasaki-u.ac.jp/anesthes/staff/sumikawa_e.html"
"Arthur Wallace, Anesthesiology & Pain Management, http://www.cardiacengineering.com/artwallace.html"
"David Warltier, Anesthesiology & Pain Management, http://www.mcw.edu/display/router.asp?docid=13463"
"Richard Weiskopf, Anesthesiology & Pain Management, http://directory.ucsf.edu/people_detail.jsp?FNO=Richard.Weiskopf@ucsf.edu&retLink=1&school_code=all&last_name=Weiskopf&first_name=Richard&offset=0"
"Andrew Wolf, Anesthesiology & Pain Management, http://www.uhbristol.nhs.uk/for-clinicians/consultant-profiles/professor-andrew-wolf/"
"Anthony Absalom, Anesthesiology & Pain Management, http://www.rug.nl/staff/A.R.Absalom/index"
"Zulfiqar Ahmed, Anesthesiology & Pain Management, http://www.childrensdmc.org/?id=1797&sid=1"
"Michael Alkire, Anesthesiology & Pain Management"
"Martin Angst, Anesthesiology & Pain Management, http://med.stanford.edu/profiles/frdActionServlet?choiceId=facProfile&fid=4553"
"Bernd Antkowiak, Anesthesiology & Pain Management"
"John Augoustides, Anesthesiology & Pain Management, http://www.med.upenn.edu/apps/faculty/index.php/g319/p19182"
"Michael Avidan, Anesthesiology & Pain Management, http://wuphysicians.wustl.edu/physician2.aspx?PhysNum=3472"
"Eric Albrecht, Anesthesiology & Pain Management, Vincent Chan"
"Jason Ali, Anesthesiology & Pain Management, Alain Vuylsteke"
"Pedro Alvarez, Anesthesiology & Pain Management, Paul Green"
"Michael Andritsos, Anesthesiology & Pain Management, John Augoustides"
"Amrita Aranake, Anesthesiology & Pain Management, Michael Avidan"
"Amrita Aranake, Anesthesiology & Pain Management"
"Bharathi Aravamudan, Anesthesiology & Pain Management, YS Prakash"
"Bharathi Aravamudan, Anesthesiology & Pain Management"
"Paul Barash, Anesthesiology & Pain Management, http://yalemedicalgroup.org/YMG/directory/public/profile.asp?pictID=69325&nameSearch=&department=&keyword=barash&gender=&ageGroup="
"Douglas Bayliss, Anesthesiology & Pain Management, http://www.healthsystem.virginia.edu/internet/researchfaculty/detail.cfm?people_id=dab3y&hideintro=1"
"Curtis Baysinger, Anesthesiology & Pain Management, http://medschool.mc.vanderbilt.edu/facultydata/php_files/show_faculty.php?id3=11346"
"Odd-Geir Berge, Anesthesiology & Pain Management"
"Sergio Bergese, Anesthesiology & Pain Management, http://anesthesiology.osu.edu/4480.cfm#.UK"
"Edward Bertaccini, Anesthesiology & Pain Management, http://www.paloalto.va.gov/bertaccini.asp"
"Stuart Bevan, Anesthesiology & Pain Management, http://rg.kcl.ac.uk/staffprofiles/staffprofile.php?pid=4903"
"Arun Bhaskar, Anesthesiology & Pain Management, http://www.christie.nhs.uk/about-the-christie/whos-who/our-consultants/arun-bhaskar.aspx"
"Bruce Biccard, Anesthesiology & Pain Management, http://www.linkedin.com/pub/bruce-biccard/21/501/50a"
"Valerie Billard, Anesthesiology & Pain Management, http://www.igr.fr/doc/annuaire/cv/cv-billard.pdf"
"Ulrike Bingel, Anesthesiology & Pain Management, http://www.uke.de/institute/systemische-neurowissenschaften/index_53792.php"
"Thomas Blanck, Anesthesiology & Pain Management, http://pain-medicine.med.nyu.edu/research/research-faculty/thomas-jj-blanck-md-phd"
"Andre Boezaart, Anesthesiology & Pain Management, http://anest.ufl.edu/clinical-divisions/regional-anesthesia-and-perioperative-pain-medicine/andre-pierre-boezaart-md-phd-2/"
"Merel Boom, Anesthesiology & Pain Management"
"Alain Borgeat, Anesthesiology & Pain Management, http://www.balgrist.ch/en/desktopdefault.aspx/tabid-29/31_read-38/"
"Zeljko Bosnjak, Anesthesiology & Pain Management, http://www.mcw.edu/display/router.asp?DocID=1894"
"Didier Bouhassira, Anesthesiology & Pain Management"
"Stephen Brickley, Anesthesiology & Pain Management, http://www.bio.ph.ic.ac.uk/~brickley/"
"Jason Brooks, Anesthesiology & Pain Management"
"Emery Brown, Anesthesiology & Pain Management, http://www2.massgeneral.org/anesthesia/index.aspx?page=faculty&subpage=brown"
"Nicolas Bruder, Anesthesiology & Pain Management"
"Scott Brudney, Anesthesiology & Pain Management, http://anesthesiology.duke.edu/modules/faculty_dh/viewDetails.php?uid=0285752"
"Cathrine Baastrup, Anesthesiology & Pain Management, Nanna Finnerup"
"Banani Banerjee, Anesthesiology & Pain Management, Jyoti Sengupta"
"Banani Banerjee, Anesthesiology & Pain Management"
"Marie Barabas, Anesthesiology & Pain Management, Cheryl Stucky"
"Annika Barber, Anesthesiology & Pain Management, Roderic Eckenhoff"
"Annika Barber, Anesthesiology & Pain Management"
"Katherine Barker, Anesthesiology & Pain Management, Howard Gutstein"
"Katherine Barker, Anesthesiology & Pain Management"
"Antje Barreveld, Anesthesiology & Pain Management, Darin Correll"
"Melissa Bauer, Anesthesiology & Pain Management, Jill Mhyre"
"Lucy Bee, Anesthesiology & Pain Management, Anthony Dickenson"
"Shira Black, Anesthesiology & Pain Management, Suzanne Karan"
"Shira Black, Anesthesiology & Pain Management"
"Jeanna Blitz, Anesthesiology & Pain Management, Thomas Blanck"
"Helmar Bornemann-Cimenti, Anesthesiology & Pain Management, Andreas Sandner-Kiesling"
"Jasenka Borzan, Anesthesiology & Pain Management, Matthias Ringkamp"
"Jasenka Borzan, Anesthesiology & Pain Management"
"Amanda Braaten, Anesthesiology & Pain Management, Mitchell Tsai"
"Amanda Braaten, Anesthesiology & Pain Management"
"Ashleene Bradbury, Anesthesiology & Pain Management, Hance Clarke"
"Ashleene Bradbury, Anesthesiology & Pain Management"
"Laura Burbi, Anesthesiology & Pain Management, Cesare Gregoretti"
"Laura Burbi, Anesthesiology & Pain Management"
"Christoph Burkhart, Anesthesiology & Pain Management, Luzius A Steiner"
"Christoph Burkhart, Anesthesiology & Pain Management"
"Jason Campagna, Anesthesiology & Pain Management"
"Claudia Campbell, Anesthesiology & Pain Management"
"Maxime Cannesson, Anesthesiology & Pain Management, http://www.anesthesiology.uci.edu/research_faculty_cannesson.shtml"
"Brendan Carvalho, Anesthesiology & Pain Management, http://med.stanford.edu/profiles/Brendan_Carvalho/"
"Davide Cattano, Anesthesiology & Pain Management, http://www.uth.tmc.edu/anes/faculty/faculty-Cattano-Davide.html"
"Vincent Chan, Anesthesiology & Pain Management, http://www.anesthesia.utoronto.ca"
"Jean Charchaflieh, Anesthesiology & Pain Management, http://www.downstate.edu/anesthesiology/faculty/charchaflieh.html"
"Frederick Cheney, Anesthesiology & Pain Management, http://medical.washington.edu/bios/view.aspx?CentralId=4845"
"Osvaldo Chiara, Anesthesiology & Pain Management, http://www.ospedaleniguarda.it/medico/Chiara-Osvaldo"
"Hance Clarke, Anesthesiology & Pain Management, http://www.anesthesia.utoronto.ca/people/faculty/clarkeha.htm"
"Johan Coetzee, Anesthesiology & Pain Management"
"Malachy Columb, Anesthesiology & Pain Management"
"Darin Correll, Anesthesiology & Pain Management, http://physiciandirectory.brighamandwomens.org/directory/profile.asp?dbase=main&setsize=30&mkt_display=Y&pict_id=0000962"
"Luis Ignacio Cortinez, Anesthesiology & Pain Management"
"Joseph Cotten, Anesthesiology & Pain Management, http://www.massgeneral.org/doctors/doctor.aspx?ID=17606"
"Paula Craigo, Anesthesiology & Pain Management, http://www.mayoclinic.org/bio/13562207.html"
"Joseph Cravero, Anesthesiology & Pain Management, http://patients.dartmouth-hitchcock.org/findadoctor/profile/911/Joseph_P_Cravero_MD"
